date,cap_swe,sey_swe
3/2/2019,55.06436768,58.77084351
3/3/2019,54.81715088,58.44755249
3/4/2019,54.62991943,58.7232605
3/5/2019,54.21665649,58.7232605
3/6/2019,54.04553833,58.11937256
3/7/2019,54.03552246,58.71477661
3/8/2019,54.16763916,58.28829346
3/9/2019,54.36870117,58.05040894
3/10/2019,54.55886841,58.75129395
3/11/2019,54.27672729,58.52834473
3/12/2019,54.30396118,59.04116821
3/13/2019,54.4178833,59.38776855
3/14/2019,54.56103516,59.70308228
3/15/2019,54.67915649,59.86551514
3/16/2019,55.12051392,60.30026245
3/17/2019,56.05955811,60.90041504
3/18/2019,56.76292114,61.24022217
3/19/2019,57.25098877,60.03370972
3/20/2019,57.39115601,60.03370972
3/21/2019,57.56135864,60.03370972
3/22/2019,57.7222229,60.03370972
3/23/2019,57.81699219,61.0562561
3/24/2019,57.67697144,60.60854492
3/25/2019,57.65650024,60.2019043
3/26/2019,57.47084351,59.75252686
3/27/2019,57.11964111,59.23618774
3/28/2019,56.96930542,58.99674683
3/29/2019,57.09887085,58.96276855
3/30/2019,56.99215698,58.68406372
3/31/2019,56.56494751,58.09447021
4/1/2019,56.07863159,57.45785522
4/2/2019,55.75714111,57.27979736
4/3/2019,55.62835083,58.82341614
4/4/2019,56.99725647,58.82341614
4/5/2019,56.99725647,58.82341614
4/6/2019,56.99725647,58.82341614
4/7/2019,55.91275635,57.10371704
4/8/2019,57.00235596,58.26854248
4/9/2019,58.07632446,59.45744019
4/10/2019,58.5590271,59.91623535
4/11/2019,58.89563599,60.2847229
4/12/2019,59.83916626,61.05130005
4/13/2019,60.53770752,61.87927246
4/14/2019,60.99968262,62.47281494
4/15/2019,61.38528442,63.06143188
4/16/2019,61.77661743,63.58209229
4/17/2019,60.39055481,61.55543213
4/18/2019,60.39055481,61.55543213
4/19/2019,61.65084839,61.55543213
4/20/2019,61.49920044,61.55543213
4/21/2019,61.18156738,62.50727539
4/22/2019,60.67303467,61.78532104
4/23/2019,60.2434021,61.32554321
4/24/2019,59.9803772,61.26853027
4/25/2019,59.40378418,60.48235474
4/26/2019,58.96940308,59.66610107
4/27/2019,58.31748657,58.57279663
4/28/2019,58.22964478,58.47808838
4/29/2019,58.15736084,58.41068115
4/30/2019,58.16946411,58.41894531
5/1/2019,58.1229248,58.34688721
5/2/2019,57.96334229,58.16248779
5/3/2019,57.77987061,57.97194824
5/4/2019,57.50526733,57.69221191
5/5/2019,57.2420166,57.4362854
5/6/2019,56.92772217,57.12706299
5/7/2019,56.34293823,56.5463562
5/8/2019,55.67780151,55.8668457
5/9/2019,54.96630859,55.11851807
5/10/2019,54.00721436,54.1326355
5/11/2019,53.09729614,53.17832642
5/12/2019,52.18210449,52.21030884
5/13/2019,51.07880859,51.0550415
5/14/2019,49.96375122,49.87008362
5/15/2019,48.90935669,48.75577393
5/16/2019,48.12618408,47.92605896
5/17/2019,47.53353577,47.29087524
5/18/2019,46.72910767,46.42655334
5/19/2019,46.5771759,44.71091309
5/20/2019,45.92070007,43.69725647
5/21/2019,45.19281921,42.57068481
5/22/2019,44.48355103,41.52435913
5/23/2019,43.77144165,40.80256653
5/24/2019,42.85897522,39.91839294
5/25/2019,42.06791992,39.11939392
5/26/2019,41.27506104,38.28734436
5/27/2019,40.01853333,37.08097839
5/28/2019,38.8114624,35.94833984
5/29/2019,37.8734314,35.01047974
5/30/2019,36.65810852,33.78117065
5/31/2019,35.11413269,32.24042664
6/1/2019,33.47221985,30.60199585
6/2/2019,31.7802124,28.916922
6/3/2019,30.01532288,27.19155273
6/4/2019,28.4846344,25.82008362
6/5/2019,27.14402771,24.50658112
6/6/2019,26.00374146,23.40675507
6/7/2019,25.2552536,22.70499115
6/8/2019,24.88823547,22.36226044
6/9/2019,24.47347107,21.96585999
6/10/2019,23.69131165,21.07272797
6/11/2019,22.7812088,20.23813324
6/12/2019,21.55272064,19.11902313
6/13/2019,20.33780823,18.06548157
6/14/2019,18.78814697,17.02280121
6/15/2019,17.0308136,15.69585114
6/16/2019,15.56908569,14.24972229
6/17/2019,13.80834045,12.7229805
6/18/2019,12.01715775,11.0282074
6/19/2019,10.22552948,9.311985016
6/20/2019,8.663381958,7.690074921
6/21/2019,7.146372223,6.080633163
6/22/2019,5.953617477,4.990423965
6/23/2019,4.8794487,4.07387886
6/24/2019,3.841454315,3.214787292
6/25/2019,3.383255005,2.833695793
6/26/2019,3.180400276,2.664680862
6/27/2019,2.942503738,2.46791172
6/28/2019,2.585828781,2.172415733
6/29/2019,1.892546082,1.598043823
6/30/2019,1.754,0.99902544
7/1/2019,1.6572,0.75924387
7/2/2019,1.6027,0.743899393
7/3/2019,1.5724,0.721896029
7/4/2019,1.5633,0.6272
7/5/2019,1.54782,0.5112
7/6/2019,1.5356,0.42627
7/7/2019,1.52435,0.35362
7/8/2019,1.5098,0.2982
7/9/2019,1.4932,0.25262
7/10/2019,1.4726,0.2112
7/11/2019,1.4689,0.16718
7/12/2019,1.4526,0.14252
7/13/2019,1.443798,0.09812
7/14/2019,1.42182,0.06521
7/15/2019,1.40032,0
7/16/2019,1.398362255,0
7/17/2019,1.383988953,0
7/18/2019,1.371359253,0
7/19/2019,1.358278942,0
7/20/2019,1.347888279,0
7/21/2019,1.251889706,0
7/22/2019,1.219093895,0
7/23/2019,1.194738102,0
7/24/2019,1.117114449,0
7/25/2019,0.812694263,0
7/26/2019,0.757813501,0
7/27/2019,0.701,0
7/28/2019,0.6751,0
7/29/2019,0.611,0
7/30/2019,0.5343,0
7/31/2019,0.4412,0
8/1/2019,0.3876,0
8/2/2019,0.25687,0
8/3/2019,0.2112,0
8/4/2019,0.16571,0
8/5/2019,0.1129,0
8/6/2019,0,0
8/7/2019,0,0
8/8/2019,0,0
8/9/2019,0,0
8/10/2019,0,0
8/11/2019,0,0
8/12/2019,0,0
8/13/2019,0,0
8/14/2019,0,0
8/15/2019,0,0
8/16/2019,0,0
8/17/2019,0,0
